_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
28,1,Marie Curtis Park East Beach,31W,2024-09-06,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
29,1,Marie Curtis Park East Beach,30W,2024-09-06,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
30,2,Sunnyside Beach,23W,2024-09-06,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
31,2,Sunnyside Beach,18W,2024-09-06,460,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
32,2,Sunnyside Beach,17W,2024-09-06,530,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
33,2,Sunnyside Beach,20W,2024-09-06,170,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
34,2,Sunnyside Beach,21W,2024-09-06,610,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
35,2,Sunnyside Beach,19W,2024-09-06,70,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
36,2,Sunnyside Beach,22W,2024-09-06,190,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
37,1,Marie Curtis Park East Beach,29W,2024-09-05,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
38,1,Marie Curtis Park East Beach,33W,2024-09-05,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
39,1,Marie Curtis Park East Beach,32W,2024-09-05,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
40,1,Marie Curtis Park East Beach,31W,2024-09-05,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
41,1,Marie Curtis Park East Beach,30W,2024-09-05,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
42,2,Sunnyside Beach,23W,2024-09-05,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
43,2,Sunnyside Beach,18W,2024-09-05,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
44,2,Sunnyside Beach,17W,2024-09-05,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
45,2,Sunnyside Beach,20W,2024-09-05,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
46,2,Sunnyside Beach,21W,2024-09-05,210,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
47,2,Sunnyside Beach,19W,2024-09-05,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
48,2,Sunnyside Beach,22W,2024-09-05,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
49,1,Marie Curtis Park East Beach,29W,2024-09-04,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
50,1,Marie Curtis Park East Beach,33W,2024-09-04,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
51,1,Marie Curtis Park East Beach,32W,2024-09-04,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
52,1,Marie Curtis Park East Beach,31W,2024-09-04,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
53,1,Marie Curtis Park East Beach,30W,2024-09-04,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
54,2,Sunnyside Beach,23W,2024-09-04,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
55,2,Sunnyside Beach,18W,2024-09-04,750,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
56,2,Sunnyside Beach,17W,2024-09-04,700,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
57,2,Sunnyside Beach,20W,2024-09-04,780,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
58,2,Sunnyside Beach,21W,2024-09-04,770,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
59,2,Sunnyside Beach,19W,2024-09-04,780,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
60,2,Sunnyside Beach,22W,2024-09-04,750,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
61,1,Marie Curtis Park East Beach,29W,2024-09-03,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
62,1,Marie Curtis Park East Beach,33W,2024-09-03,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
63,1,Marie Curtis Park East Beach,32W,2024-09-03,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
64,1,Marie Curtis Park East Beach,31W,2024-09-03,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
65,1,Marie Curtis Park East Beach,30W,2024-09-03,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
66,2,Sunnyside Beach,23W,2024-09-03,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
67,2,Sunnyside Beach,18W,2024-09-03,1000,>,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
68,2,Sunnyside Beach,17W,2024-09-03,1000,>,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
69,2,Sunnyside Beach,20W,2024-09-03,1000,>,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
70,2,Sunnyside Beach,21W,2024-09-03,1000,>,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
71,2,Sunnyside Beach,19W,2024-09-03,1000,>,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
72,2,Sunnyside Beach,22W,2024-09-03,1000,>,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
73,1,Marie Curtis Park East Beach,29W,2024-09-02,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
74,1,Marie Curtis Park East Beach,33W,2024-09-02,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
75,1,Marie Curtis Park East Beach,32W,2024-09-02,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
76,1,Marie Curtis Park East Beach,31W,2024-09-02,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
77,1,Marie Curtis Park East Beach,30W,2024-09-02,70,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
78,2,Sunnyside Beach,23W,2024-09-02,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
79,2,Sunnyside Beach,18W,2024-09-02,440,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
80,2,Sunnyside Beach,17W,2024-09-02,340,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
81,2,Sunnyside Beach,20W,2024-09-02,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
82,2,Sunnyside Beach,21W,2024-09-02,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
83,2,Sunnyside Beach,19W,2024-09-02,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
84,2,Sunnyside Beach,22W,2024-09-02,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
85,1,Marie Curtis Park East Beach,29W,2024-09-01,230,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
86,1,Marie Curtis Park East Beach,33W,2024-09-01,220,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
87,1,Marie Curtis Park East Beach,32W,2024-09-01,240,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
88,1,Marie Curtis Park East Beach,31W,2024-09-01,200,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
89,1,Marie Curtis Park East Beach,30W,2024-09-01,200,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
90,2,Sunnyside Beach,23W,2024-09-01,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
91,2,Sunnyside Beach,18W,2024-09-01,910,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
92,2,Sunnyside Beach,17W,2024-09-01,210,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
93,2,Sunnyside Beach,20W,2024-09-01,170,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
94,2,Sunnyside Beach,21W,2024-09-01,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
95,2,Sunnyside Beach,19W,2024-09-01,400,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
96,2,Sunnyside Beach,22W,2024-09-01,360,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
97,1,Marie Curtis Park East Beach,29W,2024-08-31,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
98,1,Marie Curtis Park East Beach,33W,2024-08-31,870,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
99,1,Marie Curtis Park East Beach,32W,2024-08-31,1010,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
100,1,Marie Curtis Park East Beach,31W,2024-08-31,250,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
101,1,Marie Curtis Park East Beach,30W,2024-08-31,150,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
102,2,Sunnyside Beach,23W,2024-08-31,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
103,2,Sunnyside Beach,18W,2024-08-31,290,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
104,2,Sunnyside Beach,17W,2024-08-31,350,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
105,2,Sunnyside Beach,20W,2024-08-31,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
106,2,Sunnyside Beach,21W,2024-08-31,400,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
107,2,Sunnyside Beach,19W,2024-08-31,200,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
108,2,Sunnyside Beach,22W,2024-08-31,330,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
109,1,Marie Curtis Park East Beach,29W,2024-08-30,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
110,1,Marie Curtis Park East Beach,33W,2024-08-30,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
111,1,Marie Curtis Park East Beach,32W,2024-08-30,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
112,1,Marie Curtis Park East Beach,31W,2024-08-30,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
113,1,Marie Curtis Park East Beach,30W,2024-08-30,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
114,2,Sunnyside Beach,23W,2024-08-30,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
115,2,Sunnyside Beach,18W,2024-08-30,70,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
116,2,Sunnyside Beach,17W,2024-08-30,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
117,2,Sunnyside Beach,20W,2024-08-30,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
118,2,Sunnyside Beach,21W,2024-08-30,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
119,2,Sunnyside Beach,19W,2024-08-30,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
120,2,Sunnyside Beach,22W,2024-08-30,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
121,1,Marie Curtis Park East Beach,29W,2024-08-29,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
122,1,Marie Curtis Park East Beach,33W,2024-08-29,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
123,1,Marie Curtis Park East Beach,32W,2024-08-29,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
124,1,Marie Curtis Park East Beach,31W,2024-08-29,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
125,1,Marie Curtis Park East Beach,30W,2024-08-29,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
126,2,Sunnyside Beach,23W,2024-08-29,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
127,2,Sunnyside Beach,18W,2024-08-29,120,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
128,2,Sunnyside Beach,17W,2024-08-29,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
129,2,Sunnyside Beach,20W,2024-08-29,90,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
130,2,Sunnyside Beach,21W,2024-08-29,290,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
131,2,Sunnyside Beach,19W,2024-08-29,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
132,2,Sunnyside Beach,22W,2024-08-29,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
133,1,Marie Curtis Park East Beach,29W,2024-08-28,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
134,1,Marie Curtis Park East Beach,33W,2024-08-28,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
135,1,Marie Curtis Park East Beach,32W,2024-08-28,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
136,1,Marie Curtis Park East Beach,31W,2024-08-28,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
137,1,Marie Curtis Park East Beach,30W,2024-08-28,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
138,2,Sunnyside Beach,23W,2024-08-28,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
139,2,Sunnyside Beach,18W,2024-08-28,490,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
140,2,Sunnyside Beach,17W,2024-08-28,600,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
141,2,Sunnyside Beach,20W,2024-08-28,260,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
142,2,Sunnyside Beach,21W,2024-08-28,320,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
143,2,Sunnyside Beach,19W,2024-08-28,320,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
144,2,Sunnyside Beach,22W,2024-08-28,280,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
145,1,Marie Curtis Park East Beach,29W,2024-08-27,200,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
146,1,Marie Curtis Park East Beach,33W,2024-08-27,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
147,1,Marie Curtis Park East Beach,32W,2024-08-27,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
148,1,Marie Curtis Park East Beach,31W,2024-08-27,200,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
149,1,Marie Curtis Park East Beach,30W,2024-08-27,230,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
150,2,Sunnyside Beach,23W,2024-08-27,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
151,2,Sunnyside Beach,18W,2024-08-27,870,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
152,2,Sunnyside Beach,17W,2024-08-27,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
153,2,Sunnyside Beach,20W,2024-08-27,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
154,2,Sunnyside Beach,21W,2024-08-27,150,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
155,2,Sunnyside Beach,19W,2024-08-27,150,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
156,2,Sunnyside Beach,22W,2024-08-27,440,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
157,1,Marie Curtis Park East Beach,29W,2024-08-26,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
158,1,Marie Curtis Park East Beach,33W,2024-08-26,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
159,1,Marie Curtis Park East Beach,32W,2024-08-26,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
160,1,Marie Curtis Park East Beach,31W,2024-08-26,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
161,1,Marie Curtis Park East Beach,30W,2024-08-26,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
162,2,Sunnyside Beach,23W,2024-08-26,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
163,2,Sunnyside Beach,18W,2024-08-26,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
164,2,Sunnyside Beach,17W,2024-08-26,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
165,2,Sunnyside Beach,20W,2024-08-26,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
166,2,Sunnyside Beach,21W,2024-08-26,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
167,2,Sunnyside Beach,19W,2024-08-26,10,<,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
168,2,Sunnyside Beach,22W,2024-08-26,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
169,1,Marie Curtis Park East Beach,29W,2024-08-25,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
170,1,Marie Curtis Park East Beach,33W,2024-08-25,30,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
171,1,Marie Curtis Park East Beach,32W,2024-08-25,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
172,1,Marie Curtis Park East Beach,31W,2024-08-25,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
173,1,Marie Curtis Park East Beach,30W,2024-08-25,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
174,2,Sunnyside Beach,23W,2024-08-25,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
175,2,Sunnyside Beach,18W,2024-08-25,10,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
176,2,Sunnyside Beach,17W,2024-08-25,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
177,2,Sunnyside Beach,20W,2024-08-25,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
178,2,Sunnyside Beach,21W,2024-08-25,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
179,2,Sunnyside Beach,19W,2024-08-25,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
180,2,Sunnyside Beach,22W,2024-08-25,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
181,1,Marie Curtis Park East Beach,29W,2024-08-24,200,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
182,1,Marie Curtis Park East Beach,33W,2024-08-24,130,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
183,1,Marie Curtis Park East Beach,32W,2024-08-24,100,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
184,1,Marie Curtis Park East Beach,31W,2024-08-24,140,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
185,1,Marie Curtis Park East Beach,30W,2024-08-24,140,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
186,2,Sunnyside Beach,23W,2024-08-24,,None,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
187,2,Sunnyside Beach,18W,2024-08-24,80,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
188,2,Sunnyside Beach,17W,2024-08-24,60,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
189,2,Sunnyside Beach,20W,2024-08-24,400,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
190,2,Sunnyside Beach,21W,2024-08-24,210,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
191,2,Sunnyside Beach,19W,2024-08-24,280,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
192,2,Sunnyside Beach,22W,2024-08-24,180,None,"{'type': 'MultiPoint', 'coordinates': [[-79.46005, 43.636723]]}"
193,1,Marie Curtis Park East Beach,29W,2024-08-23,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.539696, 43.58592]]}"
194,1,Marie Curtis Park East Beach,33W,2024-08-23,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540886, 43.58486]]}"
195,1,Marie Curtis Park East Beach,32W,2024-08-23,20,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54056, 43.58511]]}"
196,1,Marie Curtis Park East Beach,31W,2024-08-23,110,None,"{'type': 'MultiPoint', 'coordinates': [[-79.54039, 43.585304]]}"
197,1,Marie Curtis Park East Beach,30W,2024-08-23,40,None,"{'type': 'MultiPoint', 'coordinates': [[-79.540054, 43.58561]]}"
198,2,Sunnyside Beach,23W,2024-08-23,,No data,"{'type': 'MultiPoint', 'coordinates': [[-79.461525, 43.63625]]}"
199,2,Sunnyside Beach,18W,2024-08-23,300,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45267, 43.636612]]}"
200,2,Sunnyside Beach,17W,2024-08-23,490,None,"{'type': 'MultiPoint', 'coordinates': [[-79.451, 43.63639]]}"
201,2,Sunnyside Beach,20W,2024-08-23,140,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45564, 43.637165]]}"
202,2,Sunnyside Beach,21W,2024-08-23,50,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45753, 43.63711]]}"
203,2,Sunnyside Beach,19W,2024-08-23,190,None,"{'type': 'MultiPoint', 'coordinates': [[-79.45411, 43.63711]]}"
